DATE,yhat_lower,yhat_upper,CC Volume
2017-12-29,158.5958032541136,378.8318250026359,244.91946414354157
2017-12-30,31.274363164779707,73.90997370465186,47.79282811339591
2017-12-31,20.745856447119777,48.36712593616534,31.876345827215598
2018-01-01,180.45411173229365,424.57570397619446,274.955209583166
2018-01-02,177.66170647019186,426.12907716521755,278.1974784167572
2018-01-03,178.30873406496391,421.11499914209764,271.21509715803586
2018-01-04,167.00243453559924,405.4471644530267,262.84411376286215
2018-01-05,170.33779797228382,410.0175539761126,263.4379603958447
2018-01-06,33.932373815898465,81.7173049942145,52.82921562415194
2018-01-07,22.947772046825023,54.70986914087353,36.12714406236903
2018-01-08,204.99628230649955,489.3882841537487,318.60548504211874
2018-01-09,206.97093125192282,508.41387386225205,328.51139198775655
2018-01-10,216.77967783898575,513.1516822643742,325.1924639238822
2018-01-11,207.34550505417963,482.1658579044124,318.75807258595825
2018-01-12,207.43030337023188,502.00086830127185,321.8180297388813
2018-01-13,42.22058597762402,103.87735369816045,64.74068974880095
2018-01-14,28.33042163128752,67.83040787724214,44.23060995410493
2018-01-15,243.8335490110139,610.6942568749163,388.1496651496044
2018-01-16,255.72218651024792,618.71022494288,396.75246869998165
2018-01-17,243.2307682932391,600.0866395140727,388.0010306954204
2018-01-18,244.48116561934737,590.1782523913561,374.5790542393293
2018-01-19,244.87051469208296,591.5635034451799,371.4876901276559
2018-01-20,47.032400815959704,115.52102938648497,73.25598917695143
2018-01-21,31.357199417275183,76.30946769402246,48.98189299734855
2018-01-22,274.96673783929054,665.2140568365521,420.2612779738306
2018-01-23,279.0458504768295,639.2914232459751,419.8147862251826
2018-01-24,263.2630066032082,599.0152532485936,401.2791447138781
2018-01-25,244.35292837172264,611.662230594268,378.9038764551415
2018-01-26,238.35112191306334,571.5566091060618,367.9780783708298
2018-01-27,46.66260799020019,107.65933423753185,71.17648018237463
2018-01-28,30.04998717498816,73.23399004805111,46.77863911135624
2018-01-29,250.09822190472383,613.524289612161,395.46027640068877
2018-01-30,249.6772109909489,603.298084119414,390.2864896007977
2018-01-31,242.63346481836118,564.5887657942126,369.63175406998835
2018-02-01,229.5310295975083,529.6615991091106,346.8578528602672
2018-02-02,211.545773287831,532.6450402056576,335.7837840764739
2018-02-03,42.81172128426343,100.07361024737119,64.935570455743
2018-02-04,27.393739870468064,65.16487463391216,42.78972408387797
2018-02-05,232.62597971347998,564.1337452180051,363.65651524927176
2018-02-06,236.20365747974068,562.6126025220458,361.6641684508995
2018-02-07,225.20307372615378,544.690284123808,345.87888218911445
2018-02-08,215.71085394072958,512.6746091584747,328.3083827149751
2018-02-09,207.63184977643536,485.0431903793555,321.91271740575377
2018-02-10,39.82112117185984,96.15935140230735,63.1105440346739
2018-02-11,26.736926733705765,65.91524603871278,42.18027782918507
2018-02-12,239.17029911271305,564.5016777527479,363.613866400028
2018-02-13,240.50428876396057,564.6341590894896,366.68009715452934
2018-02-14,236.46689741968476,549.3511372630826,355.3276194849918
2018-02-15,220.71919973023577,537.1704418589237,341.3912679599804
2018-02-16,228.07012045105247,531.6804102596495,338.366957619712
2018-02-17,42.61709221416931,105.86531287003055,66.94815141342818
2018-02-18,29.185316593836315,69.62650022919752,45.0773640431616
2018-02-19,248.37937301815168,599.9244132375766,390.7252516604353
2018-02-20,258.95194059414814,632.5582550321391,395.4034685218504
2018-02-21,249.4160832771121,606.7419931856339,383.74374744048646
2018-02-22,235.99110674364974,574.5625292743166,368.5390782645384
2018-02-23,241.8943723543065,563.1572006596176,364.4548457791916
2018-02-24,45.446017051825564,111.52673753555966,71.82780838408894
2018-02-25,30.60949190355142,75.71047922595928,48.10283513928731
2018-02-26,259.98548057600385,650.8361549576301,414.1933556232322
2018-02-27,269.2932795859267,660.1610292467637,415.9736562629712
2018-02-28,258.92362268728624,606.1600735060102,400.36387141872444
2018-03-01,247.46392886382822,605.520874044528,381.15661410254114
2018-03-02,234.76252449482948,588.773128313235,373.6035580679462
2018-03-03,46.23335398747311,110.8764862702259,72.99052326576113
2018-03-04,31.295363854501474,72.3018979843526,48.47527090306363
2018-03-05,268.4919595334228,638.429732382898,414.1863911482329
2018-03-06,264.3577734834835,642.6195348888034,413.09787336230306
2018-03-07,250.43088336518838,608.5805603660584,395.2346220524265
2018-03-08,244.88065807817622,581.5887259314566,374.4415079132288
2018-03-09,238.95440642605723,565.3394239576437,365.6529011638376
2018-03-10,47.12000731228306,113.01929247120223,71.25396706184601
2018-03-11,30.35827156165151,72.03284360670784,47.25471209621099
2018-03-12,254.72470988114264,634.4496290630916,403.6204387255719
