DATE,CC Volume
6/9/2018,58
6/10/2018,54
6/11/2018,457
6/12/2018,387
6/13/2018,405
6/14/2018,386
6/15/2018,387
6/16/2018,70
6/17/2018,46
6/18/2018,536
6/19/2018,430
6/20/2018,424
6/21/2018,410
6/22/2018,394
6/23/2018,71
6/24/2018,74
6/25/2018,502
6/26/2018,458
6/27/2018,393
6/28/2018,434
6/29/2018,401
6/30/2018,112
7/1/2018,49
7/2/2018,461
7/3/2018,350
7/4/2018,85
7/5/2018,333
7/6/2018,298
7/7/2018,63
7/8/2018,46
7/9/2018,516
7/10/2018,473
7/11/2018,429
7/12/2018,413
7/13/2018,393
7/14/2018,64
7/15/2018,36
7/16/2018,490
7/17/2018,489
7/18/2018,446
7/19/2018,450
7/20/2018,428
7/21/2018,96
7/22/2018,44
7/23/2018,572
7/24/2018,484
7/25/2018,354
7/26/2018,434
7/27/2018,390
7/28/2018,81
7/29/2018,42
7/30/2018,474
7/31/2018,462
8/1/2018,473
8/2/2018,477
8/3/2018,473
8/4/2018,105
8/5/2018,49
8/6/2018,501
8/7/2018,497
8/8/2018,428
8/9/2018,454
8/10/2018,41
8/11/2018,111
8/12/2018,47
8/13/2018,541
8/14/2018,450
8/15/2018,462
8/16/2018,403
8/17/2018,377
8/18/2018,76
8/19/2018,54
8/20/2018,545
8/21/2018,604
8/22/2018,412
8/23/2018,440
8/24/2018,412
8/25/2018,76
8/26/2018,53
8/27/2018,469
8/28/2018,498
8/29/2018,418
8/30/2018,392
8/31/2018,325
9/1/2018,57
9/2/2018,39
9/3/2018,81
9/4/2018,481
9/5/2018,471
9/6/2018,456
9/7/2018,451
9/8/2018,104
9/9/2018,64
9/10/2018,495
9/11/2018,456
9/12/2018,426
9/13/2018,532
9/14/2018,653
9/15/2018,312
9/16/2018,129
9/17/2018,710
9/18/2018,657
9/19/2018,482
9/20/2018,516
9/21/2018,458
9/22/2018,116
9/23/2018,55
9/24/2018,531
9/25/2018,526
9/26/2018,472
9/27/2018,395
9/28/2018,489
9/29/2018,146
9/30/2018,62
10/1/2018,598
10/2/2018,518
10/3/2018,480
10/4/2018,470
10/5/2018,404
10/6/2018,86
10/7/2018,71
10/8/2018,460
10/9/2018,514
10/10/2018,449
10/11/2018,433
10/12/2018,424
10/13/2018,95
10/14/2018,64
10/15/2018,535
10/16/2018,517
10/17/2018,480
10/18/2018,431
10/19/2018,431
10/20/2018,109
10/21/2018,65
10/22/2018,580
10/23/2018,437
10/24/2018,461
10/25/2018,437
10/26/2018,414
10/27/2018,142
10/28/2018,69
10/29/2018,603
10/30/2018,481
10/31/2018,418
11/1/2018,488
11/2/2018,462
11/3/2018,112
11/4/2018,81
11/5/2018,535
11/6/2018,482
11/7/2018,454
11/8/2018,447
11/9/2018,407
11/10/2018,96
11/11/2018,161
11/12/2018,610
11/13/2018,729
11/14/2018,650
11/15/2018,485
11/16/2018,469
11/17/2018,105
11/18/2018,75
11/19/2018,561
11/20/2018,501
11/21/2018,354
11/22/2018,56
11/23/2018,237
11/24/2018,146
11/25/2018,90
11/26/2018,588
11/27/2018,439
11/28/2018,442
11/29/2018,423
11/30/2018,463
12/1/2018,106
12/2/2018,108
12/3/2018,502
12/4/2018,424
12/5/2018,433
12/6/2018,449
12/7/2018,422
12/8/2018,104
12/9/2018,145
12/10/2018,614
12/11/2018,486
12/12/2018,542
12/13/2018,479
12/14/2018,404
12/15/2018,87
12/16/2018,71
12/17/2018,538
12/18/2018,472
12/19/2018,511
12/20/2018,442
12/21/2018,424
12/22/2018,73
12/23/2018,106
12/24/2018,195
12/25/2018,28
12/26/2018,384
12/27/2018,327
12/28/2018,375
12/29/2018,86
12/30/2018,53
12/31/2018,230
1/1/2019,76
1/2/2019,597
1/3/2019,460
1/4/2019,421
1/5/2019,78
1/6/2019,60
1/7/2019,482
1/8/2019,455
1/9/2019,482
1/10/2019,432
1/11/2019,447
1/12/2019,80
1/13/2019,60
1/14/2019,515
1/15/2019,436
1/16/2019,434
1/17/2019,416
1/18/2019,432
1/19/2019,78
1/20/2019,53
1/21/2019,305
1/22/2019,415
1/23/2019,412
1/24/2019,428
1/25/2019,376
1/26/2019,77
1/27/2019,49
1/28/2019,444
1/29/2019,416
1/30/2019,349
1/31/2019,374
2/1/2019,390
2/2/2019,72
2/3/2019,45
2/4/2019,454
2/5/2019,404
2/6/2019,433
2/7/2019,379
2/8/2019,371
2/9/2019,67
2/10/2019,43
2/11/2019,505
2/12/2019,363
2/13/2019,399
2/14/2019,405
2/15/2019,346
2/16/2019,73
2/17/2019,43
2/18/2019,248
2/19/2019,507
2/20/2019,392
2/21/2019,440
2/22/2019,376
2/23/2019,71
2/24/2019,53
2/25/2019,309
2/26/2019,400
2/27/2019,388
2/28/2019,420
3/1/2019,371
3/2/2019,70
3/3/2019,51
3/4/2019,475
3/5/2019,426
3/6/2019,425
3/7/2019,479
3/8/2019,496
3/9/2019,122
3/10/2019,64
3/11/2019,585
3/12/2019,522
3/13/2019,497
3/14/2019,534
3/15/2019,549
3/16/2019,87
3/17/2019,68
3/18/2019,497
3/19/2019,509
3/20/2019,438
3/21/2019,478
3/22/2019,452
3/23/2019,91
3/24/2019,63
3/25/2019,480
3/26/2019,474
3/27/2019,449
3/28/2019,472
3/29/2019,442
3/30/2019,87
3/31/2019,67
4/1/2019,664
4/2/2019,479
4/3/2019,496
4/4/2019,490
4/5/2019,443
4/6/2019,134
4/7/2019,66
4/8/2019,553
4/9/2019,560
4/10/2019,474
4/11/2019,502
4/12/2019,513
4/13/2019,155
4/14/2019,87
4/15/2019,557
4/16/2019,543
4/17/2019,535
4/18/2019,518
4/19/2019,491
4/20/2019,128
4/21/2019,59
4/22/2019,538
4/23/2019,500
4/24/2019,483
4/25/2019,443
4/26/2019,502
4/27/2019,185
4/28/2019,77
4/29/2019,588
4/30/2019,471
5/1/2019,527
5/2/2019,487
5/3/2019,496
5/4/2019,139
5/5/2019,80
5/6/2019,538
5/7/2019,506
5/8/2019,529
5/9/2019,448
5/10/2019,462
5/11/2019,128
5/12/2019,68
5/13/2019,602
5/14/2019,528
5/15/2019,501
5/16/2019,462
